City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,marshfield,44.6689,-90.1718,23.02,56,0,2.06,US,1687228049
109,mirnyy,62.5353,113.9611,15.13,38,100,4.92,RU,1687228050
110,beloyarskiy,63.7119,66.6722,7.49,68,100,4.68,RU,1687228050
111,susuman,62.7833,148.1667,23.45,22,5,1.33,RU,1687228050
112,kargat,55.1956,80.2811,18.57,64,69,10.51,RU,1687228050
113,krasnoshchekovo,51.6708,82.7289,25.41,46,98,7.5,RU,1687228050
114,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,87,75,3.0,RU,1687228050
115,las lomitas,-24.7096,-60.593,19.81,58,100,2.55,AR,1687228050
116,punta arenas,-53.15,-70.9167,2.06,80,0,7.72,CL,1687228019
117,udachny,66.4167,112.4,13.03,37,100,4.45,RU,1687228051
118,margaret river,-33.95,115.0667,11.96,64,87,7.35,AU,1687228051
119,la'ie,21.6477,-157.9253,29.98,65,9,1.79,US,1687228051
120,aripuana,-9.1667,-60.6333,24.73,63,33,0.14,BR,1687228051
121,papatowai,-46.5619,169.4708,12.01,90,100,5.23,NZ,1687228051
122,pacific grove,36.6177,-121.9166,19.37,75,0,8.49,US,1687228051
123,urangan,-25.3,152.9,19.64,34,1,4.85,AU,1687228051
124,merida,20.9667,-89.6167,34.01,38,0,5.66,MX,1687228030
125,cagnano varano,41.8287,15.7732,16.31,52,4,0.32,IT,1687228052
126,thompson,55.7435,-97.8558,19.09,94,75,1.54,CA,1687228052
127,tughyl,47.7252,84.2063,21.93,49,100,3.11,KZ,1687228053
128,dryden,49.7833,-92.7503,25.16,57,0,3.09,CA,1687228053
129,vorgashor,67.5833,63.95,4.06,75,100,4.9,RU,1687228053
130,machico,32.7,-16.7667,22.78,90,75,1.54,PT,1687228053
131,merritt,50.1123,-120.7942,7.96,86,100,0.89,CA,1687228053
132,shats'k,51.5021,23.9381,14.36,91,66,2.14,UA,1687228053
133,georgetown,5.4112,100.3354,31.96,72,20,1.54,MY,1687227782
